Source: USDA Branded Food Products Database Release July 2018 Software v.3.9.5.1_2019-01-29
Report Run at: January 29 2019 21:49 EST
"Nutrient data for: MILK CHOCOLATE & STRAWBERRY CREME SWIRL, UPC: 040000470663"
Food Group:  Branded Food Products Database
Common Name:

Nutrient,Unit,Data points,Std. Error,"6.0 HEARTS = 42.0g",1Value per 100 g,
Proximates
"Energy",kcal,--,--,230,548
"Protein",g,--,--,2.00,4.76
"Total lipid (fat)",g,--,--,14.00,33.33
"Carbohydrate, by difference",g,--,--,25.00,59.52
"Fiber, total dietary",g,--,--,1.0,2.4
"Sugars, total",g,--,--,24.00,57.14
Minerals
"Calcium, Ca",mg,--,--,60,143
"Iron, Fe",mg,--,--,0.36,0.86
"Sodium, Na",mg,--,--,40,95
Vitamins
"Vitamin C, total ascorbic acid",mg,--,--,1.2,2.9
"Vitamin A, IU",IU,--,--,100,238
Lipids
"Fatty acids, total saturated",g,--,--,8.001,19.050
"Fatty acids, total trans",g,--,--,0.000,0.000
"Cholesterol",mg,--,--,10,24
Amino Acids
Other
Ingredients
"MILK CHOCOLATE (SUGAR,COCOA BUTTER,CHOCOLATE, SKIM MILK, MILKFAT, LACTOSE,CHOCOLATE PROCESSED WITH ALKALI,SOY LECITHIN, NATURAL AND ARTIFICIAL FLAVORS), SUGAR,COCOA BUTTER, SKIM MILK, MILKFAT, SOY LECITHIN, SALT, PGPR, NATURAL FLAVORS,COLORING (RED 40 LAKE, BLUE 2 LAKE)." Date available: 07/14/2017 Date last updated by company: 07/14/2017
