Db,Ndb Id,FoodDescription,Manufacturer
BF,45157421,"CHOCOLATE CHOCOLATE CHOCOLATE, DARK CHOCOLATE NOUPAREILS, UPC: 081331001904",Chocolate Chocolate Chocolate
BF,45148721,"CHOCOLATE CHOCOLATE CHOCOLATE, WHITE CHOCOLATE PEPPERMINT WAFERS, UPC: 081331001812",Chocolate Chocolate Chocolate
BF,45286717,"MILK CHOCOLATE, DARK CHOCOLATE, CARAMEL & MILK CHOCOLATE, UPC: 040000516620",none
BF,45148724,"CHOCOLATE CHOCOLATE CHOCOLATE, ALMOND TOFFEE BARK, UPC: 081331002376",Chocolate Chocolate Chocolate
BF,45136309,"CHOCOLATE COOKIES WITH CHOCOLATE CHIPS, UPC: 609883108027",Dad's Cookie Co.
BF,45149559,"GHIRARDELLI CHOCOLATE, CHOCOLATE SQUARES, UPC: 747599321429",GHIRARDELLI CHOCOLATE COMPANY
BF,45007105,"CHOCOLATE CORTES, SWEET CHOCOLATE, UPC: 073693001005",Sucesores Pedro Cortes Inc.
BF,45013346,"SHOPRITE, CHOCOLATE SYRUP, CHOCOLATE, UPC: 041190020294",WAKEFERN FOOD CORPORATION
BF,45151749,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761100295",ELMER CANDY CORPORATION
BF,45143245,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761100868",ELMER CANDY CORPORATION
BF,45155648,"ELMER CHOCOLATE, CHOCOLATE, UPC: 041761100400",ELMER CANDY CORPORATION
BF,45100142,"DILETTANTE CHOCOLATES, DARK CHOCOLATES, UPC: 037041029745","Seattle Gourmet Foods, Inc."
BF,45157408,"CHOCOLATE CHOCOLATE CHOCOLATE, MILK CHOCOLATE NONPAREILS, UPC: 081331001805",Chocolate Chocolate Chocolate
BF,45148722,"CHOCOLATE CHOCOLATE CHOCOLATE, DARK CHOCOLATE CHRISTMAS NONPAREILS, UPC: 081331001898",Chocolate Chocolate Chocolate
BF,45364413,"MILK CHOCOLATE, DARK CHOCOLATE, MILK CHOCOLATE & CARAMEL, UPC: 040000529002",Mars Chocolate North America LLC
BF,45165180,"CHOCOLATE CHOCOLATE CHOCOLATE, CARROT CAKE, CARAMELS, UPC: 081331002987",Chocolate Chocolate Chocolate
BF,45277935,"CHOCOLATE CREME & CHOCOLATE COOKIES, UPC: 072320700465",D. F. Stauffer Biscuit Co. Inc
BF,45143244,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761100172",ELMER CANDY CORPORATION
BF,45143243,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761100080",ELMER CANDY CORPORATION
BF,45150158,"WHITE CHOCOLATE WITH CHOCOLATE CANDIES, UPC: 845777010216","G. Debbas Chocolatier, Inc."
BF,45154454,"TEJAS CHOCOLATE, DARK CHOCOLATE, UPC: 859037004143",Tejas Chocolate LLC
BF,45147021,"ELMER CHOCOLATE, CHOCOLATE, UPC: 041761100530",ELMER CANDY CORPORATION
BF,45157064,"ELMER CHOCOLATE, ASSORTED CHOCOLATE, UPC: 041761100394",ELMER CANDY CORPORATION
BF,45117943,"CHOCOLATE CORTES, GROUND CHOCOLATE, UPC: 073693001036",Sucesores Pedro Cortes Inc.
BF,45098875,"VALOR CHOCOLATES, DARK CHOCOLATE, UPC: 072247434351",Delta Brands Intl Corp
BF,45164387,"VSC CHOCOLATES, CHOCOLATE TRUFFLES, UPC: 055415195766",none
BF,45164072,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761100325",ELMER CANDY CORPORATION
BF,45162496,"MADELAINE CHOCOLATE COMPANY, CHOCOLATE, UPC: 000609133703",Madelaine Chocolate Novelties
BF,45206369,"TAZA CHOCOLATE, CHOCOLATE BAR, UPC: 898456001081",TAZA CHOCOLATE
SR,19081,"Candies, sweet chocolate",Sweets
BF,45157275,"VSC CHOCOLATES, CHOCOLATE TRUFFLES, UPC: 055415485638",none
BF,45318593,"DARK CHOCOLATE CHOCOLATE CANDES, UPC: 04045805",Mars Chocolate North America LLC
BF,45147019,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761100455",ELMER CANDY CORPORATION
BF,45161032,"GHIRARDELLI CHOCOLATE, CHOCOLATE, ASSORTED, UPC: 747599321122",GHIRARDELLI CHOCOLATE COMPANY
BF,45147030,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761101483",ELMER CANDY CORPORATION
BF,45165319,"FRESCO CHOCOLATE, DARK CHOCOLATE, UPC: 089950700062",none
BF,45179322,"SILK, CHOCOLATE SOYMILK, CHOCOLATE, UPC: 025293600294",WWF Operating Company
BF,45242215,"TRUEDE, CHOCOLATE SPOONS, CHOCOLATE, UPC: 5060200930434",Truede Ltd
BF,45164073,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761100615",ELMER CANDY CORPORATION
BF,45164067,"ELMER CHOCOLATE, CHOCOLATE, UPC: 041761100318",ELMER CANDY CORPORATION
BF,45169917,"CHARLES CHOCOLATES, CHOCOLATES, UPC: 859033004413","Chocolate Holdings, Inc."
SR,18157,"Cookies, chocolate wafers",Baked Products
BF,45283977,"CHOCOLATE CHEWY, CHOCOLATE CANDY, UPC: 077290762000",PEARSON CANDY COMPANY
BF,45318613,"CHOCOLATE CANDIES DARK CHOCOLATE, UPC: 040000495925",Mars Chocolate North America LLC
BF,45155651,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761101599",ELMER CANDY CORPORATION
BF,45318362,"CHOCOLATE CANDIES, DARK CHOCOLATE, UPC: 040000489160",Mars Chocolate North America LLC
BF,45159389,"CHOCOLATE AMATLLER, DARK CHOCOLATE, UPC: 413907757104",none
BF,45023514,"SULPICE CHOCOLATE, DARK CHOCOLATE, UPC: 859107002130",SULPICE CHOCOLAT
BF,45166054,"GHIRARDELLI CHOCOLATE, MILK CHOCOLATE, UPC: 747599325274",GHIRARDELLI CHOCOLATE COMPANY
BF,45311217,"CHOCOLATE WITH CREAMY CHOCOLATE FILLINGS, UPC: 031290067350","Godiva Chocolatier, Inc."
BF,45144427,"KARA CHOCOLATES, CHOCOLATE MILKIES, UPC: 090272002215","Fenton Enterprises, Inc."
BF,45147022,"ELMER CHOCOLATE, ASSORTED CHOCOLATES, UPC: 041761100639",ELMER CANDY CORPORATION
BF,45205635,"VIVI CHOCOLATE, SIMPLY CHOCOLATE, UPC: 738435098797","Mallard Software, Inc."
BF,45083710,"CHOCOLATE ICE CREAM IN A CHOCOLATE CONE WITH A FUDGE CENTER, CHOCOLATE FLAVORED COATING & CHOCOLATE CRUNCH TOPPING, UPC: 076197003476",Dean Foods Company
BF,45149557,"GHIRARDELLI CHOCOLATE, SPRING IMPRESSIONS CHOCOLATE, MILK & DARK CHOCOLATE, UPC: 747599318849",GHIRARDELLI CHOCOLATE COMPANY
